지역ID,교육청,구군,학교수_합계,학생수_합계_계,학생수_합계_여자,학급수_합계_계,교원수_합계_계,교실수_계,일반교실수,교과교실수,특별교실수,학교용지_합계,교지면적_계,체육장,교사면적_총계,교수학습공간,지원공간,관리행정공간,보건위생공간,공유면적,냉난방면적_총계,난방_계,냉방,비난방,일반전기_kWh,심야전기_kWh,전기_총사용량_kWh,상수도_톤,가스_m3,유류_L,탄류_kg,신재생에너지_kWh,학생1인당_전기사용량,학생1인당_수도사용량,학생1인당_가스사용량,학급당학생수,교원1인당학생수,학생1인당_교원수,학생1인당_학교용지,학생1인당_교지면적,학생1인당_교사면적,학생1인당_냉난방면적,면적당_전기사용량,냉난방면적당_전기사용량,교수학습공간비율,관리행정공간비율,공유면적비율,냉방면적비율,비난방면적비율,학생1인당_전기사용량_점수,면적당_전기사용량_점수,냉난방면적당_전기사용량_점수,학생1인당_교사면적_점수,학생1인당_학교용지_점수,학생1인당_냉난방면적_점수,교원1인당학생수_점수,학급당학생수_점수,에너지_비효율점수,공간_과잉점수,운영_구조점수,종합_비효율점수,교육자원_효율점수,비효율_위험등급,주요_비효율유형,AI_추천개선방향
강원특별자치도교육청_태백시,강원특별자치도교육청,태백시,5,972,439,55,148,132,82,26,22,180756,147243,29185,50682,11293,13245,2434,2204,8978,50682,44114,43771,6262,2314756,40292,2355048,27811,11648,1600,,89064,2422.888889,28.61213992,11.98353909,17.67272727,6.567567568,0.1522633745,185.962963,151.4845679,52.14197531,52.14197531,46.4671481,46.4671481,0.2228207253,0.04802493982,0.1771437591,0.8636399511,0.1235547137,40.49649472,29.30857522,29.30857522,39.27771748,13.42162663,39.27771748,48.87513435,38.95907189,33.03788172,30.65902053,43.91710312,33.71822045,66.28177955,낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
강원특별자치도교육청_평창군,강원특별자치도교육청,평창군,5,686,323,38,107,98,48,26,20,194846,147444,47594,41146,7319,12129,2918,2749,9242,41146,27368,27893,10860,2624091,114923,2739014,24212,9344,4533,,,3992.731778,35.29446064,13.62099125,18.05263158,6.411214953,0.1559766764,284.03207,214.9329446,59.97959184,59.97959184,66.56817188,66.56817188,0.1778787731,0.07091819375,0.2246147864,0.6779030768,0.2639381714,76.03014811,84.29246463,84.29246463,47.47986385,21.31285284,47.47986385,51.70505862,34.881135,81.53835912,38.75752685,43.29309681,58.68923687,41.31076313,보통,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_홍천군,강원특별자치도교육청,홍천군,7,1362,700,71,198,170,86,4,59,763662,258141,81951,71432,15393,17378,4550,3379,15620,71432,48184,40799,20521,4004953,573794,4578747,49159,31527,9490,,,3361.781938,36.09324523,23.14757709,19.18309859,6.878787879,0.1453744493,560.69163,189.530837,52.44640235,52.44640235,64.09938123,64.09938123,0.2154916564,0.06369694255,0.2186695039,0.5711585844,0.2872802105,61.74849415,77.53939009,77.53939009,39.59630351,43.5745338,39.59630351,43.24216225,22.74657097,72.27575811,40.92238027,32.99436661,53.84219825,46.15780175,보통,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_화천군,강원특별자치도교육청,화천군,4,396,205,27,82,74,37,1,33,113166,97163,34922,28326,5953,8204,2150,1364,6905,28326,18448,20419,6921,1523230,71726,1594956,19937,10669,2140,,66400,4027.666667,50.3459596,26.94191919,14.66666667,4.829268293,0.2070707071,285.7727273,245.3611111,71.53030303,71.53030303,56.30713832,56.30713832,0.2101602768,0.07590199816,0.2437689755,0.720857163,0.2443338276,76.82090508,56.22466367,56.22466367,59.56780202,21.45291653,59.56780202,80.33770591,71.2264751,63.09007747,46.86284019,75.7820905,58.50298452,41.49701548,보통,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
강원특별자치도교육청_횡성군,강원특별자치도교육청,횡성군,7,1373,630,82,181,194,99,16,60,1691312,601228,117243,84439,12477,22079,3751,3420,21935,84439,40600,62831,12713,4474821,,4474821,31285,316879,6600,,25880,3259.155863,22.78587036,230.7931537,16.74390244,7.585635359,0.1318281136,1231.836854,437.8936635,61.49963583,61.49963583,52.99471808,52.99471808,0.1477634742,0.04442260093,0.2597733275,0.7440992906,0.1505583913,59.42553596,47.16394368,47.16394368,49.07060554,97.57888792,49.07060554,30.44848526,48.92918539,51.25114111,65.240033,39.68883532,55.112352,44.887648,보통,공간 과잉형,"학생 수 대비 시설 면적이 큰 편이므로 유휴 공간을 방과후 교실, 지역 학습공간, 공유시설 등으로 전환하는 방안이 필요함."
경기도교육청_가평군,경기도교육청,가평군,5,1459,739,71,177,149,90,21,19,232238,173978,70749,81082,11168,23696,4955,3509,20012,81082,53966,59375,21614,5537734,183078,5720812,104450,218898,7031,,,3921.050034,71.59013023,150.0328992,20.54929577,8.242937853,0.1213159698,159.176148,119.2446881,55.5736806,55.5736806,70.5558817,70.5558817,0.1377371056,0.06111097408,0.2468118695,0.7322833675,0.2665696455,74.40761997,95.20035661,95.20035661,42.86903239,11.26619948,42.86903239,18.55155413,8.081651942,88.2694444,32.33475475,13.31660304,54.65264234,45.34735766,보통,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_고양시,경기도교육청,고양시,38,27386,13376,1184,2743,1932,1203,138,490,728774,643738,250353,519925,141320,142050,39860,30811,138849,519925,319551,358998,138267,22412860,15597,22428457,331665,871788,5042,,939233,818.9752793,12.11075002,31.83334551,23.13006757,9.983959169,0.100160666,26.6111882,23.50609801,18.98506536,18.98506536,43.13786989,43.13786989,0.2718084339,0.07666490359,0.2670558254,0.6904803577,0.2659364331,4.191644963,20.20174229,20.20174229,4.578669899,0.5992308639,4.578669899,11.87554844,17.045027,14.86504318,3.252190221,14.46028772,10.15918868,89.84081132,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_과천시,경기도교육청,과천시,4,2061,1102,99,223,191,109,18,48,62594,62594,20540,42961,12029,9908,4913,2498,13148,42961,16277,30462,9710,2456501,,2456501,29800,46017,,,,1191.897623,14.45900049,22.32751092,20.81818182,9.242152466,0.108199903,30.37069384,30.37069384,20.84473557,20.84473557,57.17979097,57.17979097,0.2799981378,0.1143595354,0.3060450176,0.7090617071,0.2260189474,12.63280386,58.61169817,58.61169817,6.52483391,0.9017431469,6.52483391,0.4661405766,5.195397963,43.28540007,4.650470323,2.83076927,21.76323355,78.23676645,낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_광명시,경기도교육청,광명시,11,7766,3682,333,790,483,341,35,102,169706,169706,71654,130802,36518,35647,12034,8051,32685,130802,93220,86462,30807,6046559,,6046559,91788,289315,,,110288,778.593742,11.81921195,37.25405614,23.32132132,9.830379747,0.10172547,21.85243369,21.85243369,16.84290497,16.84290497,46.22680846,46.22680846,0.2791853336,0.09200165135,0.2498815003,0.6610143576,0.2355239217,3.277602187,28.65115555,28.65115555,2.336876998,0.216313047,2.336876998,9.095817912,19.09796697,20.19330443,1.630022348,14.09689244,11.8535298,88.1464702,매우 낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
경기도교육청_광주시,경기도교육청,광주시,8,7268,3786,248,583,395,248,10,94,251207,214594,64812,112068,30367,29207,7481,6757,29700,112068,72429,76224,34235,4881383,38918,4920301,90816,264636,,,266295,676.9814254,12.49532196,36.41111723,29.30645161,12.46655232,0.08021463952,34.56342873,29.52586681,15.41937259,15.41937259,43.90460256,43.90460256,0.2709694114,0.06675411357,0.2650176678,0.6801584752,0.3054841703,0.9775906005,22.29904565,22.29904565,0.8471357104,1.239115644,0.8471357104,56.80956277,83.34304973,15.19189397,0.9777956881,70.07630625,17.7389165,82.2610835,매우 낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
